Lactose,Whey central,Whey west,Whey east,NDPSR whey avg,CME whey avg,NDPSR NFDM,34p WPC,Nonfat west,Nonfat central east,Sweet cream buttermilk central,AA butter,Cheese 40 blocks,Cheese barrel,Delac,Start_interval
0.4775,0.41,0.435,0.4275,0.4371,0.4088,1.4326,1.7275,1.4,1.38,1.35,2.4625,2.1151,2.0386,0.4225,2023-01-02
0.4725,0.4025,0.435,0.42625,0.443,0.3575,1.4074,1.6775,1.36,1.3025,1.335,2.4936,2.1145,2.0881999999999996,0.4225,2023-01-09
0.4675,0.3725,0.415,0.425,0.4453,0.33,1.3974,1.6775,1.33,1.285,1.3,2.4732,2.1274,2.0881999999999996,0.4225,2023-01-16
0.445,0.36,0.405,0.41125,0.4259,0.3245,1.3981,1.625,1.28,1.23,1.25,2.4773,2.1269,2.1178,0.4225,2023-01-23
0.44,0.36,0.385,0.395,0.4001,0.362,1.2786,1.575,1.215,1.22,1.225,2.4085,2.0891,1.9335,0.4225,2023-01-30
0.41,0.3725,0.38,0.3825,0.4137,0.425,1.3102,1.5,1.22,1.22,1.21,2.3817,2.0623,1.8871000000000002,0.4225,2023-02-06
0.405,0.3825,0.4025,0.395,0.3988,0.439,1.2415,1.4725,1.265,1.2225,1.19,2.4101,2.0042,1.8073000000000001,0.4225,2023-02-13
0.405,0.405,0.41875,0.38875,0.3985,0.4594,1.248,1.455,1.25125,1.225,1.18,2.4369,1.9531,1.7285000000000004,0.4225,2023-02-20
0.39,0.415,0.43,0.41625,0.4028,0.45,1.2297,1.4,1.245,1.22,1.16,2.4364,1.9285,1.7448800000000002,0.4225,2023-02-27
0.3725,0.42,0.43,0.42625,0.4086,0.441,1.2016,1.39,1.225,1.21,1.155,2.4419,1.9424,1.74248,0.4225,2023-03-06
0.35,0.43,0.44,0.43125,0.4246,0.451,1.2146,1.3375,1.2075,1.205,1.11,2.4364,1.9559,1.72362,0.4225,2023-03-13
0.335,0.43,0.44,0.44125,0.4195,0.445,1.2249,1.315,1.165,1.19,1.1,2.4056,1.9411,1.72362,0.4225,2023-03-20
0.335,0.44,0.435,0.44125,0.4375,0.444,1.2204,1.3,1.155,1.165,1.1,2.4235,1.9255,1.72362,0.4225,2023-03-27
0.305,0.44,0.43,0.45125,0.4533,0.4188,1.1474,1.26,1.14,1.16,1.08,2.4238,1.9881,1.72362,0.4225,2023-04-03
0.285,0.44,0.415,0.44625,0.4606,0.3675,1.2009,1.215,1.135,1.16,1.075,2.4226,2.023,1.72362,0.4225,2023-04-10
0.28,0.4375,0.415,0.45125,0.4481,0.3655,1.1753,1.125,1.145,1.4525,1.02,2.3891,1.9707,1.72362,0.37525,2023-04-10
0.28,0.405,0.4125,0.44875,0.4613,0.3415,1.165,1.205,1.145,1.1525,1.02,2.3913,1.9082,1.72362,0.4225,2023-04-24
0.27,0.3975,0.4,0.43875,0.4263,0.3305,1.1219,1.155,1.155,1.1575,0.96,2.4047,1.8571,1.72362,0.4225,2023-05-01
0.255,0.3775,0.395,0.43625,0.411,0.309,1.1548,1.14,1.17,1.1575,0.98,2.4205,1.7912,1.65758,0.4225,2023-05-08
0.255,0.35,0.38,0.41625,0.3905,0.2845,1.1519,1.09,1.17,1.1575,0.965,2.4662,1.7524,1.62806,0.40675,2023-05-15
0.255,0.325,0.365,0.40625,0.3801,0.2685,1.1494,1.05,1.17,1.1575,1.0,2.4449,1.7098,1.62806,0.40675,2023-05-22
0.24,0.31,0.355,0.40375,0.3418,0.265,1.1502,1.0,1.17,1.16,0.945,2.4891,1.6538,1.6191400000000002,0.37525,2023-05-29
0.225,0.31,0.335,0.36875,0.3354,0.273,1.1549,0.9875,1.175,1.165,0.95,2.4819,1.6272,1.6191400000000002,0.3755,2023-06-05
0.225,0.3,0.335,0.36125,0.3186,0.276,1.1696,0.945,1.16,1.17,0.94,2.4954,1.5686,1.6245999999999998,0.35625,2023-06-12
0.225,0.2875,0.335,0.35625,0.3184,0.2669,1.1728,0.9275,1.155,1.165,0.935,2.434,1.5291,1.6246000000000003,0.372,2023-06-19
0.21,0.27375,0.30125,0.31875,0.3109,0.2465,1.176,0.9,1.135,1.155,0.915,2.418,1.4964,1.5620600000000002,0.346,2023-06-26
0.205,0.26,0.3,0.2925,0.2892,0.2344,1.1535,0.895,1.125,1.14,0.92,2.4248,1.4714,1.5620600000000002,0.346,2023-07-03
0.195,0.2525,0.3,0.285,0.2765,0.234,1.1798,0.885,1.115,1.115,0.9,2.4591,1.4302,1.5620600000000002,0.34400000000000003,2023-07-10
0.1925,0.2425,0.27,0.2675,0.2616,0.2465,1.1674,0.87,1.1,1.11,0.87,2.4431,1.4124,1.52696,0.35200000000000004,2023-07-15
0.195,0.25,0.28,0.26375,0.2544,0.257,1.1478,0.86,1.11,1.12,0.87,2.5232,1.4491,1.5620600000000002,0.352,2023-07-24
0.195,0.25,0.285,0.2675,0.2525,0.261,1.1276,0.83,1.1,1.1125,0.865,2.542,1.5391,1.60784,0.34400000000000003,2023-07-31
0.2,0.25,2.95,0.2675,0.2469,0.273,1.1407,0.83,1.115,1.1175,0.865,2.6351,1.7041,1.30348,0.4225,2023-08-07
0.21,0.2525,0.31,0.26125,0.263,0.2645,1.1357,0.82,1.0975,1.115,0.845,2.6328,1.8492,1.73508,0.33849999999999997,2023-08-14
0.21,0.2525,0.32,0.26375,0.2683,0.263,1.1395,0.81,1.095,1.11,0.835,2.6844,1.9374,1.73508,0.33675,2023-08-21
0.225,0.27,0.34,0.26375,0.2658,0.293,1.1365,0.805,1.075,1.105,0.885,2.693,1.9937,1.7566400000000002,0.34400000000000003,2023-08-28
0.23,0.28,0.33,0.28125,0.2761,0.3131,1.1066,0.81,1.085,1.095,0.885,2.6765,2.0094,1.75538,0.34400000000000003,2023-09-04
0.405,0.695,0.72625,0.67625,0.6564,0.7535,1.5856,1.385,1.64,1.645,1.445,2.1612,1.9168,1.8936,0.4225,2022-01-03
0.405,0.715,0.73625,0.69625,0.6723,0.7645,1.6078,1.41,1.66,1.7025,1.4825,2.3053,1.9263,2.0368000000000004,0.37525,2022-01-10
0.405,0.735,0.7475,0.715,0.7015,0.79,1.6319,1.445,1.72,1.77,1.515,2.564,1.9755,2.1016000000000004,0.34375,2022-01-17
0.405,0.745,0.765,0.735,0.7225,0.822,1.6655,1.4925,1.8,1.785,1.525,2.7248,2.0152,2.1016,0.34375,2022-01-24
0.405,0.775,0.79,0.75125,0.738,0.855,1.6813,1.53875,1.8,1.81,1.57,2.7941,1.9983,2.0881,0.34375,2022-01-31
0.405,0.7925,0.81,0.77625,0.7504,0.833,1.6944,1.5525,1.85,1.87,1.6,2.6661,1.9351,2.03852,0.34375,2022-02-07
0.405,0.80125,0.8,0.8025,0.7787,0.817,1.7225,1.61,1.865,1.895,1.72,2.6028,1.8786,1.99742,0.34375,2022-02-14
0.405,0.805,0.7925,0.81125,0.7942,0.795,1.7416,1.64,1.875,1.9175,1.73,2.6893,1.8845,1.99742,0.34375,2022-02-21
0.405,0.7825,0.7825,0.8,0.795,0.753,1.7673,1.69,1.875,1.915,1.73,2.7075,1.9397,1.99742,0.34375,2022-02-28
0.405,0.7825,0.77,0.8,0.8014,0.7575,1.7817,1.7,1.84,1.91,1.735,2.6887,1.9841,1.9974199999999995,0.34375,2022-03-07
0.415,0.775,0.76,0.795,0.7958,0.759,1.7987,1.7,1.83,1.91,1.8,2.7297,2.0328,1.99742,0.34375,2022-03-14
0.415,0.7425,0.74,0.79125,0.7895,0.746,1.7942,1.725,1.83625,1.91,1.735,2.7516,2.1119,2.0385200000000006,0.34375,2022-03-14
0.415,0.715,0.7275,0.77125,0.7938,0.6715,1.8075,1.7375,1.8325,1.905,1.785,2.7416,2.1594,2.0385199999999997,0.34375,2022-03-28
0.425,0.645,0.6625,0.755,0.7846,0.6135,1.8225,1.77875,1.835,1.905,1.81,2.7912,2.2034,2.0385199999999997,0.34375,2022-04-04
0.435,0.6425,0.645,0.7175,0.7684,0.635,1.8316,1.8,1.83,1.905,1.83,2.7445,2.2283,2.03852,0.34375,2022-04-11
0.435,0.6425,0.655,0.71375,0.7293,0.637,1.8294,1.8,1.83,1.905,1.83,2.7848,2.2744,2.0779199999999998,0.34375,2022-04-18
0.435,0.635,0.655,0.7075,0.7186,0.589,1.8421,1.8,1.8,1.87,1.845,2.7718,2.323,2.09302,0.34375,2022-04-25
0.435,0.63,0.62,0.685,0.6973,0.5895,1.8329,1.8125,1.765,1.81,1.9,2.7669,2.3592,2.10652,0.34375,2022-05-02
0.435,0.61,0.62,0.6775,0.6837,0.5615,1.834,1.8125,1.77,1.805,1.92,2.7244,2.3808,2.10652,0.34375,2022-05-09
0.4375,0.59,0.61,0.6575,0.6808,0.4985,1.8247,1.8125,1.735,1.7925,1.92,2.7033,2.3971,2.10652,0.34375,2022-05-16
0.4375,0.5775,0.59,0.645125,0.676,0.5025,1.8168,1.82625,1.775,1.83,1.935,2.7208,2.7208,2.1696,0.33849999999999997,2022-05-23
0.4375,0.575,0.59,0.63125,0.6375,0.5463,1.7805,1.81625,1.825,1.855,1.935,2.8195,2.3681,2.09302,0.34375,2022-05-30
0.44,0.575,0.5925,0.60875,0.6297,0.537,1.7904,1.825,1.8575,1.8725,1.93,2.8447,2.3655,2.09302,0.34375,2022-06-06
0.44,0.57,0.59,0.6075,0.6211,0.508,1.8197,1.825,1.8575,1.8725,1.935,2.9023,2.3421,2.0779199999999998,0.34375,2022-06-13
0.445,0.57,0.575,0.605,0.6145,0.4875,1.8204,1.8325,1.835,1.875,1.92,2.9791,2.3092,2.0779199999999998,0.344,2022-06-20
0.455,0.5325,0.555,0.5975,0.5975,0.4905,1.8389,1.8325,1.81,1.845,1.92,2.9607,2.2738,2.0779199999999998,0.344,2022-06-27
0.455,0.525,0.54,0.57625,0.5877,0.4925,1.8161,1.8325,1.79,1.825,1.886,2.9279,2.2227,2.07792,0.344,2022-07-04
0.455,0.525,0.54,0.5625,0.5264,0.469,1.8423,1.8325,1.755,1.815,1.885,2.974,2.2034,2.0779199999999998,0.344,2022-07-11
0.455,0.4975,0.51,0.56,0.5427,0.463,1.8269,1.8325,1.72,1.745,1.875,2.9674,2.1647,2.0779199999999998,0.344,2022-07-18
0.455,0.485,0.51,0.515,0.5494,0.4515,1.7959,1.8275,1.685,1.715,1.8675,2.965,1.924,2.0779199999999998,0.344,2022-07-25
0.455,0.455,0.51,0.515,0.539,0.432,1.7366,1.8275,1.65625,1.69,1.8675,2.9322,2.0879,2.0779199999999998,0.344,2022-08-01
0.455,0.45,0.485,0.5,0.5348,0.442,1.7327,1.8075,1.585,1.625,1.855,2.9667,2.0369,2.141,0.344,2022-08-08
0.455,0.45,0.49,0.4925,0.4872,0.449,1.7047,1.8075,1.4875,1.555,1.9,3.0253,1.9629,2.2124200000000003,0.344,2022-08-15
0.455,0.4525,0.49,0.4925,0.5109,0.461,1.6868,1.8075,1.52,1.56,1.845,2.9606,1.9026,2.141,0.344,2022-08-22
0.455,0.4525,0.535,0.49875,0.4896,0.475,1.5862,1.8075,1.5475,1.56,1.89,2.9724,1.888,2.1410000000000005,0.344,2022-08-29
0.455,0.46,0.515,0.50375,0.5014,0.4494,1.5933,1.805,1.575,1.565,1.83,3.0249,1.876,2.1409999999999996,0.344,2022-09-05
0.4575,0.46,0.53,0.5025,0.4895,0.476,1.5916,1.805,1.565,1.57,1.9025,3.0872,1.8432,2.1410000000000005,0.344,2022-09-12
0.4575,0.45,0.5425,0.505,0.489,0.45,1.5887,1.805,1.595,1.58,1.815,3.1415,1.8181,2.141,0.344,2022-09-19
0.4575,0.4425,0.515,0.4975,0.4889,0.4445,1.5657,1.805,1.5975,1.58,1.81,3.1738,1.8951,2.2444200000000003,0.344,2022-09-26
0.465,0.44,0.5,0.48875,0.4891,0.426,1.567,1.805,1.5775,1.555,1.775,3.1352,1.9897,2.2444200000000003,0.344,2022-10-03
0.465,0.44,0.5,0.465,0.4892,0.424,1.5808,1.8075,1.5625,1.555,1.73875,3.1923,2.0301,2.3299200000000004,0.344,2022-10-10
0.485,0.44,0.505,0.4675,0.4846,0.439,1.5862,1.81,1.52,1.52,1.72,3.2298,2.0306,2.32992,0.344,2022-10-17
0.485,0.44,0.495,0.465,0.488,0.434,1.5887,1.81,1.49,1.505,1.69,3.2422,2.0515,2.3638199999999996,0.344,2022-10-24
0.485,0.44,0.48625,0.4675,0.48,0.4505,1.5729,1.815,1.4725,1.46,1.665,3.1407,2.0693,2.36382,0.344,2022-10-31
0.485,0.44,0.48,0.4625,0.4826,0.439,1.5471,1.8175,1.47375,1.445,1.645,3.1168,2.0688,2.36382,0.344,2022-11-07
0.485,0.44,0.485,0.46625,0.4812,0.44,1.4967,1.8075,1.4575,1.445,1.6125,2.8963,2.0499,2.2739200000000004,0.3595,2022-11-14
0.485,0.44,0.485,0.4625,0.4678,0.44,1.4855,1.8075,1.48,1.445,1.585,2.8986,2.0613,2.2739200000000004,0.3595,2022-11-21
0.485,0.435,0.48,0.45625,0.4644,0.448,1.4933,1.7825,1.4675,1.4275,1.535,2.9182,2.1229,2.27392,0.344,2022-11-28
0.485,0.43,0.4775,0.4525,0.4707,0.4445,1.4553,1.775,1.4575,1.42,1.4925,2.9491,2.1912,2.36382,0.344,2022-12-05
0.475,0.415,0.4775,0.45125,0.4682,0.453,1.478,1.75,1.435,1.39,1.45,2.9543,2.1891,2.33702,0.344,2022-12-12
0.475,0.41,0.465,0.44375,0.4625,0.3835,1.4669,1.725,1.415,1.38,1.405,2.8324,2.162,2.2490200000000002,0.3595,2022-12-19
0.475,0.405,0.44,0.43875,0.4448,0.4038,1.4381,1.7275,1.415,1.38,1.395,2.7615,2.1315,2.2490200000000002,0.37525,2022-12-26
0.405,0.45125,0.46,0.44,0.4385,0.486,1.1091,0.94,1.145,1.1525,1.035,1.5281,1.6639,1.4636,0.4085000000000001,2021-01-04
0.405,0.485,0.48,0.4425,0.4404,0.51,1.1239,0.965,1.16,1.1625,1.05,1.4895,1.6677,1.4484,0.4085,2021-01-11
0.405,0.49,0.4875,0.495,0.4577,0.5375,1.1337,0.9825,1.1875,1.195,1.08,1.4633,1.6992,1.4721999999999997,0.40449999999999997,2021-01-18
0.42,0.495,0.5,0.5,0.4726,0.5225,1.1507,0.9925,1.165,1.165,1.075,1.4149,1.7853,1.4721,0.40449999999999997,2021-01-25
0.4125,0.5025,0.5075,0.5025,0.4817,0.535,1.1445,1.0,1.165,1.1575,1.075,1.4278,1.7845,1.4953800000000002,0.40449999999999997,2021-02-01
0.4125,0.5075,0.515,0.52125,0.4955,0.54,1.1494,1.01,1.14,1.14,1.075,1.346,1.7514,1.46344,0.40449999999999997,2021-02-08
0.4125,0.52,0.515,0.50875,0.5033,0.5475,1.1281,1.02,1.135,1.13,1.08,1.3335,1.6782,1.4634399999999999,0.4085000000000001,2021-02-15
0.42,0.5225,0.54125,0.53,0.5098,0.549,1.1192,1.025,1.115,1.115,1.085,1.3609,1.6653,1.51218,0.41200000000000003,2021-02-22
0.42,0.5625,0.5475,0.53125,0.5168,0.5695,1.087,1.025,1.1275,1.1425,1.085,1.4011,1.6186,1.51628,0.4119999999999999,2021-03-01
0.425,0.565,0.5625,0.56,0.53,0.5935,1.1034,1.03,1.1575,1.15,1.09,1.5087,1.613,1.51628,0.4085,2021-03-08
0.43,0.59,0.58,0.56875,0.5467,0.6045,1.102,1.045,1.165,1.165,1.09,1.6069,1.6308,1.51628,0.4085,2021-03-15
0.44,0.6,0.595,0.5775,0.5568,0.6215,1.1321,1.07,1.175,1.165,1.09,1.6233,1.6941,1.51628,0.41200000000000003,2021-03-22
0.445,0.605,0.60375,0.595,0.5806,0.6444,1.1366,1.09,1.16375,1.165,1.09,1.5984,1.7488,1.51628,0.40449999999999997,2021-03-29
0.45,0.61,0.615,0.6175,0.5897,0.65,1.1483,1.09375,1.17,1.16625,1.095,1.6729,1.7808,1.5274800000000002,0.41200000000000003,2020-04-05
0.45,0.6225,0.63,0.615,0.6074,0.661,1.1645,1.0975,1.1925,1.195,1.1275,1.7724,1.7824,1.63966,0.4225,2021-04-12
0.45,0.6275,0.64875,0.63125,0.6093,0.668,1.1645,1.0975,1.21,1.205,1.1275,1.8374,1.7793,1.63966,0.4225,2021-04-19
0.45,0.63,0.655,0.63875,0.6231,0.663,1.1761,1.105,1.25,1.28,1.14,1.8277,1.7964,1.71786,0.4154999999999999,2021-04-26
0.45,0.65,0.65,0.64,0.6284,0.663,1.1816,1.125,1.32,1.32,1.116,1.8062,1.8207,1.71786,0.40449999999999997,2021-05-03
0.45,0.645,0.64,0.6475,0.6438,0.632,1.2181,1.1325,1.34,1.32,1.185,1.8029,1.8248,1.8244599999999997,0.40449999999999997,2021-05-10
0.45,0.64,0.6475,0.6425,0.6523,0.641,1.2322,1.1325,1.3225,1.32,1.215,1.7916,1.8257,1.8244599999999997,0.40449999999999997,2021-05-17
0.45,0.64,0.64125,0.6125,0.6556,0.6395,1.2439,1.14125,1.31,1.32,1.225,1.8203,1.8153,1.8244599999999997,0.40449999999999997,2021-05-24
0.45,0.6375,0.64125,0.61375,0.6481,0.6019,1.2595,1.14125,1.305,1.315,1.215,1.8273,1.7651,1.71786,0.40800000000000003,2021-05-31
0.45,0.62125,0.625,0.61,0.653,0.6135,1.268,1.15125,1.295,1.31,1.225,1.7926,1.7089,1.63966,0.40449999999999997,2021-06-07
0.45,0.62,0.6325,0.6325,0.6565,0.6035,1.2676,1.15125,1.305,1.31,1.225,1.8004,1.6262,1.63966,0.40449999999999997,2021-06-14
0.455,0.595,0.62,0.62,0.625,0.59,1.2751,1.15625,1.27,1.28,1.23,1.7835,1.5568,1.63966,0.40800000000000003,2021-06-21
0.455,0.595,0.6075,0.61875,0.6421,0.561,1.2682,1.15625,1.2475,1.28,1.22,1.7972,1.5349,1.63966,0.41550000000000004,2021-06-28
0.46,0.5675,0.5975,0.6175,0.6218,0.5056,1.2626,1.15625,1.245,1.25,1.215,1.7682,1.5314,1.56976,0.41200000000000003,2021-07-05
0.46,0.5475,0.5825,0.6075,0.6287,0.53,1.2557,1.15125,1.245,1.245,1.215,1.7836,1.5365,1.56976,0.41550000000000004,2021-07-12
0.46,0.535,0.585,0.6075,0.555,0.5365,1.2501,1.155,1.235,1.23875,1.215,1.7264,1.5853,1.56976,0.40449999999999997,2021-07-19
0.455,0.53,0.57875,0.54,0.5748,0.5195,1.2672,1.1575,1.23,1.23875,1.215,1.7275,1.6624,1.56976,0.41200000000000003,2021-07-26
0.455,0.50375,0.55875,0.5375,0.587,0.507,1.2375,1.1575,1.2425,1.24,1.215,1.7153,1.6604,1.56976,0.40449999999999997,2021-08-02
0.455,0.50375,0.5525,0.56,0.581,0.5275,1.2677,1.1575,1.255,1.2425,1.215,1.7068,1.6599,1.56976,0.40449999999999997,2021-08-09
0.455,0.50375,0.55375,0.56875,0.5605,0.525,1.2579,1.1575,1.2525,1.245,1.205,1.7019,1.651,1.56976,0.40449999999999997,2021-08-16
0.45,0.4975,0.5525,0.55625,0.5536,0.512,1.2768,1.1475,1.25,1.245,1.2275,1.7301,1.6956,1.63966,0.40449999999999997,2021-08-23
0.45,0.495,0.5525,0.5425,0.5513,0.49,1.2619,1.1525,1.275,1.295,1.2275,1.686,1.7471,1.7175,0.40449999999999997,2021-08-30
0.44,0.5,0.535,0.5425,0.5386,0.52,1.2621,1.14375,1.32,1.325,1.24,1.7527,1.7737,1.75626,0.40449999999999997,2021-09-06
0.44,0.5,0.54,0.535,0.5259,0.53,1.2716,1.14375,1.3425,1.345,1.26,1.7828,1.7753,1.7562599999999997,0.40449999999999997,2021-09-13
0.44,0.51,0.54,0.535,0.5259,0.53,1.2902,1.14375,1.335,1.35,1.26,1.7828,1.7753,1.7562599999999997,0.40449999999999997,2021-09-20
0.44,0.51,0.5575,0.56025,0.5352,0.5785,1.3045,1.14375,1.345,1.385,1.27,1.784,1.7892,1.73922,0.40449999999999997,2021-09-27
0.435,0.5475,0.5575,0.53375,0.5298,0.5915,1.3145,1.14375,1.36,1.395,1.27,1.7654,1.7887,1.73922,0.40449999999999997,2021-10-04
0.425,0.565,0.56625,0.55,0.5362,0.6005,1.3427,1.1575,1.42,1.455,1.2925,1.7579,1.7973,1.63992,0.40449999999999997,2021-10-11
0.42,0.575,0.5675,0.55,0.5406,0.606,1.3548,1.1575,1.505,1.5,1.3025,1.7257,1.8077,1.67522,0.40449999999999997,2021-10-18
0.415,0.59,0.5725,0.58,0.5559,0.623,1.3845,1.16,1.535,1.51,1.315,1.7825,1.8251,1.67522,0.40449999999999997,2021-10-25
0.415,0.595,0.58875,0.59,0.5596,0.648,1.4054,1.17,1.55,1.53,1.335,1.8405,1.8152,1.67522,0.40449999999999997,2021-11-01
0.415,0.605,0.595,0.6025,0.5744,0.662,1.4382,1.195,1.56,1.535,1.335,1.8756,1.7968,1.7094999999999998,0.40449999999999997,2021-11-08
0.4125,0.6425,0.6225,0.625,0.5718,0.692,1.4873,1.2175,1.56,1.535,1.355,1.9599,1.7571,1.6810199999999997,0.40449999999999997,2021-11-15
0.4125,0.6425,0.635,0.63,0.5865,0.7,1.4926,1.25625,1.56,1.5375,1.355,1.9931,1.7338,1.6950200000000002,0.40449999999999997,2021-11-22
0.405,0.65125,0.645,0.63125,0.609,0.69,1.5104,1.2775,1.565,1.535,1.365,2.0301,1.7539,1.70962,0.40800000000000003,2021-11-29
0.405,0.65375,0.665,0.635,0.627,0.7035,1.5109,1.29,1.565,1.5475,1.375,2.0378,1.7894,1.7223199999999999,0.40800000000000003,2021-12-06
0.405,0.6625,0.67625,0.65,0.6307,0.716,1.5278,1.325,1.59125,1.59,1.42,2.0236,1.8526,1.78292,0.40800000000000003,2021-12-13
0.405,0.675,0.71625,0.65125,0.6324,0.735,1.5521,1.3325,1.61,1.6225,1.425,2.0607,1.8767,1.78292,0.40800000000000003,2021-12-20
0.405,0.6825,0.71625,0.6675,0.6572,0.75,1.5582,1.34625,1.625,1.62375,1.43,2.0643,1.9089,1.78292,0.40800000000000003,2021-12-27
0.29,0.34,0.34875,0.345,0.3341,0.3113,1.2359,0.9925,1.235,1.245,1.105,1.9628,1.9027,1.6877,0.4225,2019-01-01
0.2975,0.34,0.34875,0.34375,0.3333,0.3295,1.2355,0.9925,1.25,1.245,1.1175,1.9815,1.8879,1.6877,0.4225,2020-01-06
0.2975,0.345,0.35125,0.34375,0.326,0.3615,1.2334,1.00375,1.255,1.255,1.125,1.9259,1.8765,1.6415,0.4225,2020-01-13
0.3,0.35375,0.35625,0.34625,0.3342,0.3613,1.2427,1.00625,1.27,1.27,1.00625,1.9549,1.8887,1.6976000000000002,0.4225,2020-01-20
0.3,0.35375,0.35625,0.34625,0.3409,0.373,1.2474,1.00875,1.27,1.27,1.15,1.9009,1.8995,1.6408,0.4225,2020-01-27
0.3025,0.355,0.365,0.35125,0.3528,0.373,1.2578,1.01125,1.25,1.26,1.115,1.8675,1.945,1.6061999999999999,0.40659999999999996,2020-02-03
0.305,0.36,0.37875,0.36,0.3634,0.3895,1.2542,1.015,1.225,1.255,1.155,1.8561,1.9639,1.5690000000000002,0.40659999999999996,2020-02-10
0.305,0.36375,0.375,0.3575,0.3654,0.3654,1.254,1.015,1.21,1.22,1.16,1.8257,1.9711,1.569,0.40659999999999996,2020-02-17
0.305,0.35875,0.37,0.365,0.3694,0.3505,1.2411,1.015,1.175,1.185,1.16,1.7921,1.9412,1.569,0.40659999999999996,2020-02-24
0.31,0.35875,0.37,0.37,0.3743,0.3385,1.2236,1.015,1.145,1.18,1.15,1.7762,1.9049,1.569,0.4225,2020-03-02
0.31,0.35875,0.37,0.3725,0.375,0.3425,1.1549,1.015,1.13,1.145,1.15,1.7352,1.8464,1.569,0.4225,2020-03-09
0.31,0.35875,0.37,0.37375,0.372,0.326,1.164,1.015,1.075,1.075,1.13,1.827,1.8007,1.6252000000000002,0.4225,2020-03-16
0.31,0.35,0.37,0.37625,0.3787,0.33,1.1168,1.015,1.05,1.0475,1.1219999999999999,1.7352,1.7745,1.61586,0.4225,2020-03-23
0.3175,0.35,0.36,0.38,0.3763,0.33,1.0281,1.0125,0.9,0.91,1.13,1.6924,1.8283,1.564,0.4225,2020-03-30
0.3375,0.3475,0.355,0.37875,0.3773,0.3375,1.0797,1.015,0.905,0.89125,1.025,1.624,1.882,1.6017,0.4225,2020-04-06
0.3425,0.3525,0.365,0.37875,0.3711,0.365,0.9795,1.00875,0.875,0.9,1.0,1.2395,1.6469,1.44976,0.4225,2020-04-13
0.355,0.3525,0.3675,0.3775,0.3739,0.386,0.9315,0.99875,0.875,0.88,0.945,1.2489,1.3859,1.25342,0.4225,2020-04-20
0.375,0.3625,0.37,0.38375,0.3721,0.3905,0.8854,0.9775,0.8575,0.855,0.905,1.1229,1.2225,1.1669999999999998,0.4225,2020-04-27
0.385,0.3625,0.38,0.3775,0.3745,0.399,0.8589,0.9625,0.845,0.8275,0.905,1.1285,1.1735,1.167,0.4225,2020-05-04
0.4,0.3675,0.38,0.38,0.3796,0.397,0.8402,0.9625,0.8675,0.835,0.9,1.1849,1.1349,1.167,0.4225,2020-05-11
0.415,0.365,0.38,0.38125,0.3847,0.3645,0.8387,0.9575,0.91,0.9375,0.9,1.3141,1.2198,1.2397,0.4225,2020-05-18
0.415,0.3625,0.3675,0.38375,0.384,0.3188,0.8588,0.9475,0.975,1.0075,0.915,1.4252,1.3737,1.2799,0.4225,2020-05-25
0.4375,0.36,0.3525,0.38375,0.3815,0.325,0.8459,0.9525,1.025,1.025,0.915,1.5604,1.6121,1.4611,0.4225,2020-06-01
0.4525,0.355,0.3525,0.3825,0.3661,0.3235,0.8825,0.9525,1.005,1.02,0.925,1.5985,1.905,1.6852,0.4225,2020-06-08
0.465,0.3525,0.3525,0.37375,0.3687,0.314,0.9056,0.9275,1.005,1.0175,0.925,1.8377,2.1626,1.739,0.40659999999999996,2020-06-15
0.475,0.33625,0.35,0.375,0.3553,0.31,0.9202,0.9225,1.005,1.005,0.925,1.8427,2.4295,1.8161,0.352,2020-06-22
0.505,0.33125,0.35,0.35375,0.3648,0.3238,0.9583,0.90375,1.005,1.015,0.925,1.8244,2.5328,1.9297,0.352,2020-06-29
0.515,0.325,0.35,0.345,0.3341,0.2925,0.9763,0.90875,1.0225,1.025,0.925,1.7988,2.5946,1.9297,0.352,2020-07-06
0.52,0.3225,0.345,0.34375,0.3467,0.325,0.9687,0.89375,1.03,1.02,0.925,1.8103,2.6359,1.9297,0.352,2020-07-13
0.52,0.3175,0.3475,0.35,0.3461,0.34,0.9647,0.89,1.005,1.02,0.91,1.7675,2.7134,1.9297,0.352,2020-07-20
0.52,0.315,0.355,0.35275,0.3596,0.342,0.9761,0.88,1.0075,1.005,0.915,1.7572,2.7723,1.9297,0.352,2020-07-27
0.515,0.3125,0.345,0.35,0.3488,0.324,0.9752,0.87,0.975,0.99,0.925,1.7542,2.7649,2.00866,0.352,2020-08-03
0.515,0.3,0.34,0.35,0.346,0.314,0.9773,0.8625,0.965,0.985,0.95,1.5523,2.654,1.9026,0.352,2020-08-10
0.5125,0.2975,0.34,0.34875,0.3367,0.339,0.9612,0.85625,0.99,0.985,0.95,1.5556,2.2924,1.7437999999999998,0.352,2020-08-17
0.5125,0.295,0.34,0.3475,0.3283,0.332,0.9701,0.85,0.99,1.0,0.95,1.4871,2.0374,1.7079,0.3745,2020-08-24
0.51,0.295,0.34,0.34125,0.3203,0.334,0.9482,0.8475,1.0025,1.01,0.95,1.4984,1.8412,1.5810999999999997,0.3905,2020-08-31
0.505,0.3025,0.34,0.33625,0.3103,0.3425,0.9723,0.8475,1.0025,1.02,0.95,1.4736,1.8058,1.5810999999999997,0.39075,2020-09-07
